link,name,quote,rank,score
https://movie.douban.com/subject/3072124/,玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,137,8.9
https://movie.douban.com/subject/1418200/,傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,138,8.7
https://movie.douban.com/subject/3287562/,神偷奶爸,Mr. I Don't Care其实也有Care的时候。,139,8.6
https://movie.douban.com/subject/25986180/,釜山行,揭露人性的丧尸题材力作。,140,8.6
https://movie.douban.com/subject/1309055/,哈利·波特与火焰杯,,141,8.8
https://movie.douban.com/subject/4268598/,告白,没有一人完全善，也没有一人完全恶。,142,8.8
https://movie.douban.com/subject/6307447/,被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,143,8.8
https://movie.douban.com/subject/1291545/,大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,144,8.8
https://movie.douban.com/subject/10437779/,新世界,要做就做得狠一点，这样才能活下去。,145,8.9
https://movie.douban.com/subject/1307315/,哪吒闹海,想你时你在闹海。,146,9.2
https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就,百看不厌。 ,147,8.7
https://movie.douban.com/subject/4917726/,阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,148,8.8
https://movie.douban.com/subject/1306861/,我是山姆,爱并不需要智商 。,149,9.0
https://movie.douban.com/subject/4920389/,头号玩家,写给影迷，动漫迷和游戏迷的一封情书。,150,8.7
https://movie.douban.com/subject/1296996/,哈利·波特与密室,魔法的密室之门已打开...,101,8.8
https://movie.douban.com/subject/1292434/,一一,我们都曾经是一一。,102,9.1
https://movie.douban.com/subject/1306249/,唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,103,8.7
https://movie.douban.com/subject/1292370/,剪刀手爱德华,浪漫忧郁的成人童话。,104,8.7
https://movie.douban.com/subject/1418834/,断背山,每个人心中都有一座断背山。,105,8.8
https://movie.douban.com/subject/1294639/,勇敢的心,史诗大片的典范。,106,8.9
https://movie.douban.com/subject/2149806/,入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,107,8.9
https://movie.douban.com/subject/1296339/,爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,108,8.8
https://movie.douban.com/subject/1297630/,第六感,深入内心的恐怖，出人意料的结局。,109,8.9
https://movie.douban.com/subject/1291999/,重庆森林,寂寞没有期限。,110,8.8
https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,111,8.8
https://movie.douban.com/subject/1297359/,幽灵公主,人与自然的战争史诗。,112,8.9
https://movie.douban.com/subject/1293359/,菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,113,8.9
https://movie.douban.com/subject/1292215/,天使爱美丽,法式小清新。 ,114,8.7
https://movie.douban.com/subject/11026735/,超能陆战队,Balalala~~~,115,8.7
https://movie.douban.com/subject/1291990/,爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,116,8.9
https://movie.douban.com/subject/1291875/,阳光灿烂的日子,一场华丽的意淫。,117,8.9
https://movie.douban.com/subject/25814705/,小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,118,9.0
https://movie.douban.com/subject/1300992/,完美的世界,坏人的好总是比好人的好来得更感人。,119,9.1
https://movie.douban.com/subject/1305164/,甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,120,8.9
https://movie.douban.com/subject/1292337/,无人知晓,我的平常生活就是他人的幸福。,121,9.1
https://movie.douban.com/subject/21318488/,消失的爱人,年度最佳date movie。,122,8.7
